Demográfica;Número de Hogares (Renta);Renta de mercado ampliada;Renta Bruta (Renta);Renta Disponible;Renta disponible extendida;Año;Impuestos Directos;IRPF;Impuesto de Patrimonio;Impuesto sobre Sociedades;Cotización social trabajadores (*);Cotización Social Empresas y SEPE;IBI;Impuestos Indirectos;IVA e ITPAJD;II.EE. e I. Primas de Seguros;I.E. Bebidas Alcohólicas;I.E. Labores del Tabaco;I.E. Hidrocarburos;Prestaciones monetarias;Impuestos totales;Prestaciones en especie;Jubilación;Superviviencia;Desempleo;Invalidez;Ingresos Asistencia social;Resto de prestaciones;Prestaciones en especie. Sanidad;Prestacones en especie. Educación
Quintil 4;3829801.0;51082.76918187337;62667.35154575121;39456.67174522723;48133.50800028411;2022;19376.74922648916;6069.935400919032;35.41627853412587;113.85958502299911;2795.713870101402;10361.824095714841;298.50187881824667;3833.930594831751;3214.4533945362446;619.4771991692163;21.85545944256047;170.0906086211211;336.71870399746945;11584.582356416911;23210.679826273044;8676.836269231932;7694.6460128293875;1090.513202017546;1200.1172960336592;864.9957146546257;63.48442138638535;670.8257192764053;5203.232768752215;3473.6035016046076
Decil 9;1914900.0;77951.54766478096;89430.81786600313;54682.0398484561;64493.22309555166;2022;30043.234567703144;10942.211961081442;54.59499794767335;251.94258723332456;3876.294926367359;14918.19008126162;371.8102417880829;4705.543441635276;3926.0122662194804;779.5311778165108;26.884269270022806;209.98542335880205;441.82734747946927;11479.270257318696;34748.778019484686;9811.183230723129;8245.962930173899;849.2481110867409;949.2007844507189;645.7335873413756;88.48084505196094;700.6440038632206;5562.057769074103;4249.125460643343
Centiles 91-99;1723410.0;131687.79703463535;143053.1056717904;87579.02066969065;97883.41984937384;2022;49566.995997673555;22940.676812097514;121.6856641597169;1493.701192872297;5082.27797858361;19928.654410524752;473.9951317446226;5907.08900050569;4899.7988089683095;1007.2901836566452;34.84363789932161;288.3298525726078;564.3317611522425;11365.308607267605;55474.08505567156;10304.39921480218;8181.758840966457;749.7582926871726;965.4047784632681;682.2474643816619;61.78137099703495;724.3578396789547;5691.60098931769;4612.798225197202
Centil 100;191488.0;447979.8785656608;465466.40102757746;353356.0518247227;363797.50217441824;2022;105012.73213338597;49030.310981485294;555.1717059695944;31578.12678557338;4894.898461884097;18954.224141285657;664.930382787613;7097.616565487601;6061.036680020432;1036.5798686080946;44.13632516503128;197.74396199167876;647.1357560700517;17486.52303431254;112110.3489928016;10441.450414647394;13323.35172924674;1288.7552045036764;642.6885631713957;991.7650521181484;738.915730489639;501.0466761466652;5798.467674214572;4642.982740432821
1. Una Persona > 65 años;2297503.0;6723.0;23037.0;18572.0;22321.0;2021;2983.615285221536;2247.9146144222423;68.8896435013193;393.5466918442474;78.40306814016193;194.86127076528777;263.7810919835738;1481.29888380627;1363.6676722693037;117.63121105476819;6.2714333855177165;11.411740214087715;35.76159482774173;16313.759809120931;4464.91416299115;3749.2114763099416;10679.180154425962;5470.421774711896;37.49506798836554;0.0;69.9101668608607;56.75263679738881;3748.1015552800072;1.1099210299350595
2. Una persona entre 30 y 65 años;2606808.0;26815.0;30213.0;17934.0;19525.0;2021;10408.267216975139;3480.839156180493;14.743947803331105;100.13802322252138;1520.0345482805383;5292.511524081249;196.5603827628656;1870.1757868725272;1655.166306597163;215.00947942460283;7.379193337167802;42.46961627375295;104.40255217546003;3397.4580021102997;12278.443006179969;1590.7878857299306;550.0282554664257;449.5607781699534;1117.0291258248315;828.2599745211518;266.8425133351295;185.7373569602739;1550.9972717202857;39.790614009645054
3. Una persona < 30 años;178517.0;21365.0;22960.0;12985.0;14502.0;2021;8014.589645691975;1996.6021241263481;0.0;7.7344834947030385;1157.6908602033666;4864.420145794915;78.15396308216063;1959.8025029436124;1747.1128571936724;212.6896406362487;11.557070123681894;26.513187266931908;134.84336733815272;1594.7872800643313;9974.39209366618;1516.851305013145;376.5870929938404;375.2540792085948;548.7948420561918;67.10933089432802;19.70499845598383;207.33693802378258;1274.629006889838;242.22229812330704
4. Pareja sin hijos al menos 1 > 65 años;2741682.0;16973.0;42874.0;33201.0;39802.0;2021;7046.12259864113;4335.857786179271;84.3446669061199;709.2670859677196;491.26319323672595;1425.3898602944114;333.23604413032524;2627.4470275830854;2249.3162836286974;378.13074577698563;13.458601433746239;81.3896171619462;183.3272751759073;25901.01210512621;9673.569632364479;6601.933649398487;23074.690576617446;1781.357677602339;474.2461996144518;373.9234771101401;91.55936439487638;105.23481120399488;6563.769815916919;38.163833481567714
5. Pareja sin hijos ambos < 65 años;2584810.0;52362.0;57573.0;35062.0;38464.0;2021;19350.147161225028;6477.349763059924;23.07655773301139;416.50384735092314;2806.931471085146;9626.28550762864;255.95887242120745;3161.116516567623;2620.4328455628147;540.6836707299074;18.670126779998597;154.04192909853404;283.16588777850603;5210.363809190087;22511.26366045548;3402.0932979770346;1358.196476795014;341.80346575467274;2019.4764809736125;1033.1458425518756;142.18802809029899;315.55352648759276;3108.139579510178;293.9537184352185
6. Pareja con 1 hijo;1975512.0;52714.0;57598.0;35001.0;44054.0;2021;18872.569583113574;5582.542388119594;24.15361246667014;279.8431609158754;2853.6209962276275;10132.409432699116;289.68517711667187;3723.855118370295;3044.6444810574067;679.2106372262593;21.293721225990698;185.5010886777504;371.9724894744837;4883.481984876516;22596.424697119844;9052.295203115465;750.3201175675638;375.83539176187463;1923.3106073898718;855.7864947287788;218.42030061368663;759.8090783899884;4540.8533036032295;4511.4418997206485
7. Pareja con 2 hijos;2079456.0;65450.0;69304.0;41917.0;56930.0;2021;23154.870999330557;7706.230722786141;40.719554432586136;428.4313952620522;3353.8189546750787;11625.670360343434;333.620258599182;4232.700928152538;3433.0489240874667;799.6520028536405;26.24440942719017;234.507684248887;426.92770107022085;3854.384463882961;27387.571917496643;15013.429789341659;224.23673774650308;93.27722627830659;1749.5974583527943;721.9114572414104;175.4344692431246;889.9271069516377;5532.578002683768;9480.851789203769
8. Pareja con 3 o más hijos;576996.0;62991.0;67299.0;42004.0;63823.0;2021;21107.690449505626;7469.566541680384;28.404523223994033;634.4820621278596;3097.1036595906307;9878.13362036114;267.7945224287995;4186.938775115937;3386.122683448716;800.816085484146;27.108028778980596;224.8422819179887;453.2667075953058;4307.48094029595;25294.629226502508;21819.087410714757;118.43698914786839;60.2321691657003;1914.4877804234773;592.5803032771205;601.2052290470514;1020.5384745851245;6995.36390461583;14823.723508667545
